track_pt,track_eta,track_phi,det_raw_id
527.964,-1.38839,1.35138,604051016 604054600 604058696 604062792 637608068 637608100 637608168 637640904 637640936 
518.773,1.38836,-1.79021,604018392 604021976 604026072 604030168 637608454 637608486 637608554 637641290 
123.353,0.862036,-3.1282,576618496 580812800 585007104 637567805 637569821 637602621 637633373 637637469 
116.851,-0.86223,0.0133032,574914560 579108864 583303168 637567021 637569037 637601837 637632589 
756.417,-1.01939,-0.301404,577798144 579108864 604051736 637568397 637584040 637616776 637635981 
644.601,1.01932,2.84015,576356352 580550656 604018824 637567645 637583658 637616394 637633213 637635229 
82.2176,-2.1143,-1.17457,604050160 604050672 604054136 604058232 604062328 687886144 687889696 687889952 687906080 687906336 
83.6929,2.1143,1.96682,604017248 604017256 604017760 604017768 604021296 604021304 604025392 604025400 604029488 687885090 687885346 687901474 687901730 
314.963,0.328736,-0.294973,577896448 579207168 586285056 587595776 637567033 637567097 637570457 637572569 
304.005,-0.329086,2.84668,576258048 580452352 584646656 588840960 637567633 637567665 637569681 637571793 637571825 
30.1625,-0.945336,0.442236,575176704 579371008 604051488 637567117 637569165 637579272 637632685 637634733 
29.5128,0.945068,-2.69912,576880640 581074944 604018856 637567901 637569949 637575562 637633469 637635517 
360.463,-1.70631,1.92371,604050016 604050528 604054064 604062816 637620452 637653188 687885088 687901472 
354.249,1.70626,-1.2179,604017392 604017904 604021368 604030192 637620838 637653574 687889698 687906082 
119.109,-2.12575,1.71286,604050008 604050520 604054064 604058160 604062256 687884832 687901216 
120.576,2.12575,-1.4288,604017384 604017896 604021368 604025464 604029560 637575746 637575778 687889186 687889442 687905570 687905826 
833.054,0.967367,1.31643,575569920 580026368 637567261 637569309 637571242 637575338 637603978 637608074 637632957 637634845 637635005 
813.576,-0.967299,-1.82513,577011712 581468160 637568013 637570061 637571592 637575688 637608456 637633709 637635757 
991.544,-1.4054,1.23972,604051008 604054592 604058688 604062784 637603972 637604004 637636808 637636840 
948.358,1.40549,-1.90187,604018384 604021968 604026064 604030160 637604358 637604390 637637194 637637226 
245.023,-1.18402,1.99453,575963136 604054624 604058720 637587656 637633037 637653160 
239.826,1.1844,-1.1471,577667072 604018416 604022000 604022008 604026096 604026104 604030200 637567690 637587974 637588042 637633194 637633821 637653546 
11.4689,-1.33597,-0.907016,604051192 604054776 604058872 604062968 637567620 637567652 637600388 637600488 637633224 
11.056,1.33471,2.23548,604018296 604021880 604025976 604030072 637575430 637575462 637608198 637608298 637641034 
795.471,-0.95706,0.553166,575176704 579371008 604051488 637567117 637569165 637579272 637612040 637632685 637634733 
813.179,0.957214,-2.5884,576880640 581074944 604018864 637567901 637569949 637579658 637612426 637633469 637635517 
618.784,-0.301866,-1.47543,577306624 581500928 585695232 590938112 637568177 637570193 637570225 637572305 637572337 
609.659,0.301635,1.66639,575766528 584187904 590741504 637567381 637575673 
555.969,-0.475821,1.94071,575995904 580190208 584384512 588578816 590675968 637567505 637569553 637569585 637600305 637633105 637633137 637635121 637645297 
485.913,0.475751,-1.20081,577634304 581828608 586022912 637568281 637570329 637601081 637633881 637635897 
591.503,-2.09215,0.87218,604049968 604050480 604054040 604058136 604062232 687883552 687899936 
416.403,2.09205,-2.26928,604017344 604017856 604021344 604025440 604029536 687888162 687904546 
156.512,-1.04967,-1.7907,577011712 581468160 604051672 604054744 637608456 637608488 637633549 637633709 637635597 
158.675,1.04979,1.35078,575569920 580026368 604018760 604021832 637608074 637608106 637632797 637632957 
261.39,-1.09604,-0.107666,574914560 604054536 604054816 604058632 637599784 637620904 637632520 637632525 637634573 637653640 
264.629,1.09598,3.03406,576618496 604018832 604021904 637620522 637633309 637633341 637635357 637653258 
318.575,-1.06656,-1.39762,577273856 581468160 604051688 604054760 637616648 637616680 637633677 637633709 637635725 637649416 
333.89,1.06661,1.74381,575832064 604018776 604021848 637616266 637616298 637632925 637632957 637634973 637649034 
111.253,-1.74312,-2.29284,604050112 604050624 604054112 604062912 637620708 637653444 687888160 687904544 
113.582,1.74308,0.848479,604017200 604017712 604021272 604025368 604030000 637620326 637653062 637653094 687883554 687899938 
983.266,-0.85176,-2.74867,576749568 580943872 585138176 637567917 637569933 637602733 637633485 
