det_raw_id,sub_det
577841152,DT
577842176,DT
577843200,DT
577848320,DT
577849344,DT
577850368,DT
577851392,DT
577856512,DT
577857536,DT
577858560,DT
577859584,DT
577872896,DT
577873920,DT
577874944,DT
577875968,DT
577881088,DT
577882112,DT
577883136,DT
577884160,DT
577889280,DT
577890304,DT
577891328,DT
577892352,DT
577905664,DT
577906688,DT
577907712,DT
577908736,DT
577913856,DT
577914880,DT
577915904,DT
577916928,DT
577922048,DT
577923072,DT
577924096,DT
577925120,DT
577938432,DT
577939456,DT
577940480,DT
577941504,DT
577946624,DT
577947648,DT
577948672,DT
577949696,DT
577954816,DT
577955840,DT
577956864,DT
577957888,DT
579118080,DT
579119104,DT
579120128,DT
579121152,DT
579126272,DT
579127296,DT
579128320,DT
579129344,DT
579134464,DT
579135488,DT
579136512,DT
579137536,DT
579150848,DT
579151872,DT
579152896,DT
579153920,DT
579159040,DT
579160064,DT
579161088,DT
579162112,DT
579167232,DT
579168256,DT
579169280,DT
579170304,DT
579183616,DT
579184640,DT
579185664,DT
579186688,DT
579191808,DT
579192832,DT
579193856,DT
579194880,DT
579200000,DT
579201024,DT
579202048,DT
579203072,DT
579216384,DT
579217408,DT
579218432,DT
579219456,DT
579224576,DT
579225600,DT
579226624,DT
579227648,DT
579232768,DT
579233792,DT
579234816,DT
579235840,DT
579249152,DT
579250176,DT
579251200,DT
579252224,DT
579257344,DT
579258368,DT
579259392,DT
579260416,DT
579265536,DT
579266560,DT
579267584,DT
579268608,DT
579380224,DT
579381248,DT
579382272,DT
579383296,DT
579388416,DT
579389440,DT
579390464,DT
579391488,DT
579396608,DT
579397632,DT
579398656,DT
579399680,DT
579412992,DT
579414016,DT
579415040,DT
579416064,DT
579421184,DT
579422208,DT
579423232,DT
579424256,DT
579429376,DT
579430400,DT
579431424,DT
579432448,DT
579445760,DT
579446784,DT
579447808,DT
579448832,DT
579453952,DT
579454976,DT
579456000,DT
579457024,DT
579462144,DT
579463168,DT
579464192,DT
579465216,DT
579478528,DT
579479552,DT
579480576,DT
579481600,DT
579486720,DT
579487744,DT
579488768,DT
579489792,DT
579494912,DT
579495936,DT
579496960,DT
579497984,DT
579511296,DT
579512320,DT
579513344,DT
579514368,DT
579519488,DT
579520512,DT
579521536,DT
579522560,DT
579527680,DT
579528704,DT
579529728,DT
579530752,DT
579642368,DT
579643392,DT
579644416,DT
579645440,DT
579650560,DT
579651584,DT
579652608,DT
579653632,DT
579658752,DT
579659776,DT
579660800,DT
579661824,DT
579675136,DT
579676160,DT
579677184,DT
579678208,DT
579683328,DT
579684352,DT
579685376,DT
579686400,DT
579691520,DT
579692544,DT
579693568,DT
579694592,DT
579707904,DT
579708928,DT
579709952,DT
579710976,DT
579716096,DT
579717120,DT
579718144,DT
579719168,DT
579724288,DT
579725312,DT
579726336,DT
579727360,DT
579740672,DT
579741696,DT
579742720,DT
579743744,DT
579748864,DT
579749888,DT
579750912,DT
579751936,DT
579757056,DT
579758080,DT
579759104,DT
579760128,DT
579773440,DT
579774464,DT
579775488,DT
579776512,DT
579781632,DT
579782656,DT
579783680,DT
579784704,DT
579789824,DT
579790848,DT
579791872,DT
579792896,DT
579904512,DT
579905536,DT
579906560,DT
579907584,DT
579912704,DT
579913728,DT
579914752,DT
579915776,DT
579920896,DT
579921920,DT
579922944,DT
579923968,DT
579937280,DT
579938304,DT
579939328,DT
579940352,DT
579945472,DT
579946496,DT
579947520,DT
579948544,DT
579953664,DT
579954688,DT
579955712,DT
579956736,DT
579970048,DT
579971072,DT
579972096,DT
579973120,DT
579978240,DT
579979264,DT
579980288,DT
579981312,DT
579986432,DT
579987456,DT
579988480,DT
579989504,DT
580002816,DT
580003840,DT
580004864,DT
580005888,DT
580011008,DT
580012032,DT
580013056,DT
580014080,DT
580019200,DT
580020224,DT
580021248,DT
580022272,DT
580035584,DT
580036608,DT
580037632,DT
580038656,DT
580043776,DT
580044800,DT
580045824,DT
580046848,DT
580051968,DT
580052992,DT
580054016,DT
580055040,DT
580166656,DT
580167680,DT
580168704,DT
580169728,DT
580174848,DT
580175872,DT
580176896,DT
580177920,DT
580183040,DT
580184064,DT
580185088,DT
580186112,DT
580199424,DT
580200448,DT
580201472,DT
580202496,DT
580207616,DT
580208640,DT
580209664,DT
580210688,DT
580215808,DT
580216832,DT
580217856,DT
580218880,DT
580232192,DT
580233216,DT
580234240,DT
580235264,DT
580240384,DT
580241408,DT
580242432,DT
580243456,DT
580248576,DT
580249600,DT
580250624,DT
580251648,DT
580264960,DT
580265984,DT
580267008,DT
580268032,DT
580273152,DT
580274176,DT
580275200,DT
580276224,DT
580281344,DT
580282368,DT
580283392,DT
580284416,DT
580297728,DT
580298752,DT
580299776,DT
580300800,DT
580305920,DT
580306944,DT
580307968,DT
580308992,DT
580314112,DT
580315136,DT
580316160,DT
580317184,DT
580428800,DT
580429824,DT
580430848,DT
580431872,DT
580436992,DT
580438016,DT
580439040,DT
580440064,DT
580445184,DT
580446208,DT
580447232,DT
580448256,DT
580461568,DT
580462592,DT
580463616,DT
580464640,DT
580469760,DT
580470784,DT
580471808,DT
580472832,DT
580477952,DT
580478976,DT
580480000,DT
580481024,DT
580494336,DT
580495360,DT
580496384,DT
580497408,DT
580502528,DT
580503552,DT
580504576,DT
580505600,DT
580510720,DT
580511744,DT
580512768,DT
580513792,DT
580527104,DT
580528128,DT
580529152,DT
580530176,DT
580535296,DT
580536320,DT
580537344,DT
580538368,DT
580543488,DT
580544512,DT
580545536,DT
580546560,DT
580559872,DT
580560896,DT
580561920,DT
580562944,DT
580568064,DT
580569088,DT
580570112,DT
580571136,DT
580576256,DT
580577280,DT
580578304,DT
580579328,DT
580690944,DT
580691968,DT
580692992,DT
580694016,DT
580699136,DT
580700160,DT
580701184,DT
580702208,DT
580707328,DT
580708352,DT
580709376,DT
580710400,DT
580723712,DT
580724736,DT
580725760,DT
580726784,DT
580731904,DT
580732928,DT
580733952,DT
580734976,DT
580740096,DT
580741120,DT
580742144,DT
580743168,DT
580756480,DT
580757504,DT
580758528,DT
580759552,DT
580764672,DT
580765696,DT
580766720,DT
580767744,DT
580772864,DT
580773888,DT
580774912,DT
580775936,DT
580789248,DT
580790272,DT
580791296,DT
580792320,DT
580797440,DT
580798464,DT
580799488,DT
580800512,DT
580805632,DT
580806656,DT
580807680,DT
580808704,DT
580822016,DT
580823040,DT
580824064,DT
580825088,DT
580830208,DT
580831232,DT
580832256,DT
580833280,DT
580838400,DT
580839424,DT
580840448,DT
580841472,DT
580953088,DT
580954112,DT
580955136,DT
580956160,DT
580961280,DT
580962304,DT
580963328,DT
580964352,DT
580969472,DT
580970496,DT
580971520,DT
580972544,DT
580985856,DT
580986880,DT
580987904,DT
580988928,DT
580994048,DT
580995072,DT
580996096,DT
580997120,DT
581002240,DT
581003264,DT
581004288,DT
581005312,DT
581018624,DT
581019648,DT
581020672,DT
581021696,DT
581026816,DT
581027840,DT
581028864,DT
581029888,DT
581035008,DT
581036032,DT
581037056,DT
581038080,DT
581051392,DT
581052416,DT
581053440,DT
581054464,DT
581059584,DT
581060608,DT
581061632,DT
581062656,DT
581067776,DT
581068800,DT
581069824,DT
581070848,DT
581084160,DT
581085184,DT
581086208,DT
581087232,DT
581092352,DT
581093376,DT
581094400,DT
581095424,DT
581100544,DT
581101568,DT
581102592,DT
581103616,DT
581215232,DT
581216256,DT
581217280,DT
581218304,DT
581223424,DT
581224448,DT
581225472,DT
581226496,DT
581231616,DT
581232640,DT
581233664,DT
581234688,DT
581248000,DT
581249024,DT
581250048,DT
581251072,DT
581256192,DT
581257216,DT
581258240,DT
581259264,DT
581264384,DT
581265408,DT
581266432,DT
581267456,DT
581280768,DT
581281792,DT
581282816,DT
581283840,DT
581288960,DT
581289984,DT
581291008,DT
581292032,DT
581297152,DT
581298176,DT
581299200,DT
581300224,DT
581313536,DT
581314560,DT
581315584,DT
581316608,DT
581321728,DT
581322752,DT
581323776,DT
581324800,DT
581329920,DT
581330944,DT
581331968,DT
581332992,DT
581346304,DT
581347328,DT
581348352,DT
581349376,DT
581354496,DT
581355520,DT
581356544,DT
581357568,DT
581362688,DT
581363712,DT
581364736,DT
581365760,DT
581477376,DT
581478400,DT
581479424,DT
581480448,DT
581485568,DT
581486592,DT
581487616,DT
581488640,DT
581493760,DT
581494784,DT
581495808,DT
581496832,DT
581510144,DT
581511168,DT
581512192,DT
581513216,DT
581518336,DT
581519360,DT
581520384,DT
581521408,DT
581526528,DT
581527552,DT
581528576,DT
581529600,DT
581542912,DT
581543936,DT
581544960,DT
581545984,DT
581551104,DT
581552128,DT
581553152,DT
581554176,DT
581559296,DT
581560320,DT
581561344,DT
581562368,DT
581575680,DT
581576704,DT
581577728,DT
581578752,DT
581583872,DT
581584896,DT
581585920,DT
581586944,DT
581592064,DT
581593088,DT
581594112,DT
581595136,DT
581608448,DT
581609472,DT
581610496,DT
581611520,DT
581616640,DT
581617664,DT
581618688,DT
581619712,DT
581624832,DT
581625856,DT
581626880,DT
581627904,DT
581739520,DT
581740544,DT
581741568,DT
581742592,DT
581747712,DT
581748736,DT
581749760,DT
581750784,DT
581755904,DT
581756928,DT
581757952,DT
581758976,DT
581772288,DT
581773312,DT
581774336,DT
581775360,DT
581780480,DT
581781504,DT
581782528,DT
581783552,DT
581788672,DT
581789696,DT
581790720,DT
581791744,DT
581805056,DT
581806080,DT
581807104,DT
581808128,DT
581813248,DT
581814272,DT
581815296,DT
581816320,DT
581821440,DT
581822464,DT
581823488,DT
581824512,DT
581837824,DT
581838848,DT
581839872,DT
581840896,DT
581846016,DT
581847040,DT
581848064,DT
581849088,DT
581854208,DT
581855232,DT
581856256,DT
581857280,DT
581870592,DT
581871616,DT
581872640,DT
581873664,DT
581878784,DT
581879808,DT
581880832,DT
581881856,DT
581886976,DT
581888000,DT
581889024,DT
581890048,DT
582001664,DT
582002688,DT
582003712,DT
582004736,DT
582009856,DT
582010880,DT
582011904,DT
582012928,DT
582018048,DT
582019072,DT
582020096,DT
582021120,DT
582034432,DT
582035456,DT
582036480,DT
582037504,DT
582042624,DT
582043648,DT
582044672,DT
582045696,DT
582050816,DT
582051840,DT
582052864,DT
582053888,DT
582067200,DT
582068224,DT
582069248,DT
582070272,DT
582075392,DT
582076416,DT
582077440,DT
582078464,DT
582083584,DT
582084608,DT
582085632,DT
582086656,DT
582099968,DT
582100992,DT
582102016,DT
582103040,DT
582108160,DT
582109184,DT
582110208,DT
582111232,DT
582116352,DT
582117376,DT
582118400,DT
582119424,DT
582132736,DT
582133760,DT
582134784,DT
582135808,DT
582140928,DT
582141952,DT
582142976,DT
582144000,DT
582149120,DT
582150144,DT
582151168,DT
582152192,DT
583312384,DT
583313408,DT
583314432,DT
583315456,DT
583320576,DT
583321600,DT
583322624,DT
583323648,DT
583328768,DT
583329792,DT
583330816,DT
583331840,DT
583345152,DT
583346176,DT
583347200,DT
583348224,DT
583353344,DT
583354368,DT
583355392,DT
583356416,DT
583361536,DT
583362560,DT
583363584,DT
583364608,DT
583377920,DT
583378944,DT
583379968,DT
583380992,DT
583386112,DT
583387136,DT
583388160,DT
583389184,DT
583394304,DT
583395328,DT
583396352,DT
583397376,DT
583410688,DT
583411712,DT
583412736,DT
583413760,DT
583418880,DT
583419904,DT
583420928,DT
583421952,DT
583427072,DT
583428096,DT
583429120,DT
583430144,DT
583443456,DT
583444480,DT
583445504,DT
583446528,DT
583451648,DT
583452672,DT
583453696,DT
583454720,DT
583459840,DT
583460864,DT
583461888,DT
583462912,DT
583574528,DT
583575552,DT
583576576,DT
583577600,DT
583582720,DT
583583744,DT
583584768,DT
583585792,DT
583590912,DT
583591936,DT
583592960,DT
583593984,DT
583607296,DT
583608320,DT
583609344,DT
583610368,DT
583615488,DT
583616512,DT
583617536,DT
583618560,DT
583623680,DT
583624704,DT
583625728,DT
583626752,DT
583640064,DT
583641088,DT
583642112,DT
583643136,DT
583648256,DT
583649280,DT
583650304,DT
583651328,DT
583656448,DT
583657472,DT
583658496,DT
583659520,DT
583672832,DT
583673856,DT
583674880,DT
583675904,DT
583681024,DT
583682048,DT
583683072,DT
583684096,DT
583689216,DT
583690240,DT
583691264,DT
583692288,DT
583705600,DT
583706624,DT
583707648,DT
583708672,DT
583713792,DT
583714816,DT
583715840,DT
583716864,DT
583721984,DT
583723008,DT
583724032,DT
583725056,DT
583836672,DT
583837696,DT
583838720,DT
583839744,DT
583844864,DT
583845888,DT
583846912,DT
583847936,DT
583853056,DT
583854080,DT
583855104,DT
583856128,DT
583869440,DT
583870464,DT
583871488,DT
583872512,DT
583877632,DT
583878656,DT
583879680,DT
